id,time,ob
F6054,2017-09-02 08:00:00,15.5
F6054,2017-09-03 08:00:00,13.1
F6054,2017-09-04 08:00:00,5.4
F6054,2017-09-05 08:00:00,3.2
F6054,2017-09-06 08:00:00,5.2
F6054,2017-09-07 08:00:00,6.1
F6054,2017-09-08 08:00:00,5.3
F6054,2017-09-09 08:00:00,5.1
F6054,2017-09-10 08:00:00,4.7
F6054,2017-09-11 08:00:00,5.8
F6054,2017-09-12 08:00:00,7.6
F6054,2017-09-13 08:00:00,14.8
F6054,2017-09-14 08:00:00,7.9
F6054,2017-09-15 08:00:00,6.4
F6054,2017-09-16 08:00:00,4.4
F6054,2017-09-17 08:00:00,7.1
F6054,2017-09-18 08:00:00,8.3
F6054,2017-09-19 08:00:00,5.6
F6054,2017-09-20 08:00:00,5.8
F6054,2017-09-21 08:00:00,3.8
F6054,2017-09-22 08:00:00,6.8
F6054,2017-09-23 08:00:00,7.8
F6054,2017-09-24 08:00:00,6.6
F6054,2017-09-25 08:00:00,4.3
F6054,2017-09-26 08:00:00,5.9
F6054,2017-09-27 08:00:00,6.0
F6054,2017-09-28 08:00:00,5.6
F6054,2017-09-29 08:00:00,11.1
F6054,2017-09-30 08:00:00,8.9
F6054,2017-10-01 08:00:00,6.0
F6054,2017-10-02 08:00:00,2.9
F6054,2017-10-03 08:00:00,7.8
F6054,2017-10-04 08:00:00,14.9
F6054,2017-10-05 08:00:00,14.6
F6054,2017-10-06 08:00:00,12.7
F6054,2017-10-07 08:00:00,16.0
F6054,2017-10-08 08:00:00,15.8
F6054,2017-10-11 08:00:00,17.0
F6054,2017-10-12 08:00:00,16.1
F6054,2017-10-13 08:00:00,20.9
F6054,2017-10-14 08:00:00,22.6
F6054,2017-10-15 08:00:00,19.6
F6054,2017-10-16 08:00:00,14.3
F6054,2017-10-17 08:00:00,17.8
F6054,2017-10-18 08:00:00,14.2
F6054,2017-10-19 08:00:00,13.0
F6054,2017-10-20 08:00:00,11.5
F6054,2017-10-21 08:00:00,9.1
F6054,2017-10-30 08:00:00,18.3
F6054,2017-10-31 08:00:00,15.9
