now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2016-04-23 08:00:00,2016-04-25 20:00:00,F6031,118.113,24.331,4.442408120834438,0.9188781492409815,1.3,6.3341403782251815,4.44021868376199,1.9,1.1,1.1,2.2,2.0,5.9,0.8,1.2,2.8,1.3,1.1,0.7,1.3,1.5,2.2
2016-04-24 08:00:00,2016-04-26 20:00:00,F6031,118.113,24.331,8.861847260319589,0.9928774775727334,0.7,4.122233478927131,5.228228105942219,1.3,1.9,1.1,1.1,2.2,2.0,5.9,0.8,1.2,2.8,1.3,1.1,0.7,1.3,1.5
2016-04-25 08:00:00,2016-04-27 20:00:00,F6031,118.113,24.331,3.5629878718293337,2.223486725158068,1.5,5.429044506676352,4.6935597686933015,1.7,1.3,1.9,1.1,1.1,2.2,2.0,5.9,0.8,1.2,2.8,1.3,1.1,0.7,1.3
2016-04-26 08:00:00,2016-04-28 20:00:00,F6031,118.113,24.331,6.921308943582621,2.2358951877110944,2.3,3.4132337670722936,4.434830726578026,1.3,1.7,1.3,1.9,1.1,1.1,2.2,2.0,5.9,0.8,1.2,2.8,1.3,1.1,0.7
2016-04-27 08:00:00,2016-04-29 20:00:00,F6031,118.113,24.331,4.958456943982776,1.0838529287353822,2.0,6.444461120992148,4.266199101275261,0.7,1.3,1.7,1.3,1.9,1.1,1.1,2.2,2.0,5.9,0.8,1.2,2.8,1.3,1.1
2016-04-28 08:00:00,2016-04-30 20:00:00,F6031,118.113,24.331,2.148252248300205,1.6903361328683104,2.4,4.974318006632107,6.943474916658187,1.5,0.7,1.3,1.7,1.3,1.9,1.1,1.1,2.2,2.0,5.9,0.8,1.2,2.8,1.3
2017-02-27 08:00:00,2017-03-01 20:00:00,F6031,118.113,24.331,4.625484117237248,3.1162130085001536,1.8,5.125169105990572,7.453185784363036,2.1,1.9,4.6,3.2,2.4,1.5,3.6,4.0,1.9,3.2,2.0,1.6,1.9,2.0,2.2
2017-02-28 08:00:00,2017-03-02 20:00:00,F6031,118.113,24.331,7.889448192127683,2.6308265085694984,2.4,5.411419159581662,4.798122289429428,1.8,2.1,1.9,4.6,3.2,2.4,1.5,3.6,4.0,1.9,3.2,2.0,1.6,1.9,2.0
2017-03-01 08:00:00,2017-03-03 20:00:00,F6031,118.113,24.331,4.755862261852596,0.4359054816360413,2.3,7.7828357820926195,5.625785288688411,1.7,1.8,2.1,1.9,4.6,3.2,2.4,1.5,3.6,4.0,1.9,3.2,2.0,1.6,1.9
2017-03-02 08:00:00,2017-03-04 20:00:00,F6031,118.113,24.331,2.2471144954597406,0.17462993372589608,1.3,4.640098482898682,7.8316196251150085,1.8,1.7,1.8,2.1,1.9,4.6,3.2,2.4,1.5,3.6,4.0,1.9,3.2,2.0,1.6
2017-03-03 08:00:00,2017-03-05 20:00:00,F6031,118.113,24.331,6.822040685905348,1.9676567883158207,2.0,2.0147346846748517,4.100252477709368,2.4,1.8,1.7,1.8,2.1,1.9,4.6,3.2,2.4,1.5,3.6,4.0,1.9,3.2,2.0
2017-03-04 08:00:00,2017-03-06 20:00:00,F6031,118.113,24.331,8.422886055763628,2.248233938911426,2.3,7.332446055307098,1.7832057282735692,2.3,2.4,1.8,1.7,1.8,2.1,1.9,4.6,3.2,2.4,1.5,3.6,4.0,1.9,3.2
2017-03-05 08:00:00,2017-03-07 20:00:00,F6031,118.113,24.331,6.970294141022976,1.856008898928053,1.7,8.14268757658039,7.821383451995053,1.3,2.3,2.4,1.8,1.7,1.8,2.1,1.9,4.6,3.2,2.4,1.5,3.6,4.0,1.9
2017-03-06 08:00:00,2017-03-08 20:00:00,F6031,118.113,24.331,4.751115430663808,2.0603277033274026,1.6,6.509153630764394,8.335501363309925,2.0,1.3,2.3,2.4,1.8,1.7,1.8,2.1,1.9,4.6,3.2,2.4,1.5,3.6,4.0
2017-03-07 08:00:00,2017-03-09 20:00:00,F6031,118.113,24.331,5.204325247732559,2.431918480446825,2.0,5.024859303972866,5.931888415031329,2.3,2.0,1.3,2.3,2.4,1.8,1.7,1.8,2.1,1.9,4.6,3.2,2.4,1.5,3.6
2017-03-08 08:00:00,2017-03-10 20:00:00,F6031,118.113,24.331,6.2560308866719785,1.0215438464418871,1.5,5.177299261678652,5.5804268590768,1.7,2.3,2.0,1.3,2.3,2.4,1.8,1.7,1.8,2.1,1.9,4.6,3.2,2.4,1.5
2017-03-09 08:00:00,2017-03-11 20:00:00,F6031,118.113,24.331,3.912224140215369,0.6814266489207057,1.9,6.631575247994982,4.703045504610811,1.6,1.7,2.3,2.0,1.3,2.3,2.4,1.8,1.7,1.8,2.1,1.9,4.6,3.2,2.4
2017-03-10 08:00:00,2017-03-12 20:00:00,F6031,118.113,24.331,1.943377337773996,0.6309954668291766,1.2,5.760937083893622,6.2250038589339205,2.0,1.6,1.7,2.3,2.0,1.3,2.3,2.4,1.8,1.7,1.8,2.1,1.9,4.6,3.2
2017-03-11 08:00:00,2017-03-13 20:00:00,F6031,118.113,24.331,9.523524269105732,2.281970436180245,2.6,2.013078740979596,6.149632545404322,1.5,2.0,1.6,1.7,2.3,2.0,1.3,2.3,2.4,1.8,1.7,1.8,2.1,1.9,4.6
2017-03-12 08:00:00,2017-03-14 20:00:00,F6031,118.113,24.331,9.876488884101773,2.4785447217424235,2.8,9.297363389119356,1.6178237055010098,1.9,1.5,2.0,1.6,1.7,2.3,2.0,1.3,2.3,2.4,1.8,1.7,1.8,2.1,1.9
2017-03-13 08:00:00,2017-03-15 20:00:00,F6031,118.113,24.331,7.477379883130374,1.8122381545209687,3.5,9.630418402016568,9.72115459608813,1.2,1.9,1.5,2.0,1.6,1.7,2.3,2.0,1.3,2.3,2.4,1.8,1.7,1.8,2.1
2017-03-14 08:00:00,2017-03-16 20:00:00,F6031,118.113,24.331,6.958573694029454,1.6173073199311148,1.8,6.891859872747878,9.7851852032855,2.6,1.2,1.9,1.5,2.0,1.6,1.7,2.3,2.0,1.3,2.3,2.4,1.8,1.7,1.8
2017-03-15 08:00:00,2017-03-17 20:00:00,F6031,118.113,24.331,6.127369978003646,1.0575124216519498,1.8,7.2879106040085135,6.8212177495820905,2.8,2.6,1.2,1.9,1.5,2.0,1.6,1.7,2.3,2.0,1.3,2.3,2.4,1.8,1.7
2017-03-16 08:00:00,2017-03-18 20:00:00,F6031,118.113,24.331,5.4962063921216915,1.3021910913906822,1.5,6.343488238451173,6.677934409378728,3.5,2.8,2.6,1.2,1.9,1.5,2.0,1.6,1.7,2.3,2.0,1.3,2.3,2.4,1.8
2017-03-17 08:00:00,2017-03-19 20:00:00,F6031,118.113,24.331,4.816682383362774,0.4615686160718724,1.8,5.8663384898583875,6.031737414159951,1.8,3.5,2.8,2.6,1.2,1.9,1.5,2.0,1.6,1.7,2.3,2.0,1.3,2.3,2.4
2017-03-18 08:00:00,2017-03-20 20:00:00,F6031,118.113,24.331,3.102158610532149,2.6091941506869034,1.3,4.384335109821523,6.322317534811022,1.8,1.8,3.5,2.8,2.6,1.2,1.9,1.5,2.0,1.6,1.7,2.3,2.0,1.3,2.3
2017-03-19 08:00:00,2017-03-21 20:00:00,F6031,118.113,24.331,8.641667115242075,1.2547282218381497,2.9,4.266058307143134,5.2977422770981795,1.5,1.8,1.8,3.5,2.8,2.6,1.2,1.9,1.5,2.0,1.6,1.7,2.3,2.0,1.3
2017-03-20 08:00:00,2017-03-22 20:00:00,F6031,118.113,24.331,3.55783584234806,0.4029814804734997,1.9,9.580938799003755,7.348931554816541,1.8,1.5,1.8,1.8,3.5,2.8,2.6,1.2,1.9,1.5,2.0,1.6,1.7,2.3,2.0
2017-03-21 08:00:00,2017-03-23 20:00:00,F6031,118.113,24.331,7.229988259030043,0.8523178462518217,1.8,4.539670615368267,8.998899236436658,1.3,1.8,1.5,1.8,1.8,3.5,2.8,2.6,1.2,1.9,1.5,2.0,1.6,1.7,2.3
2017-03-22 08:00:00,2017-03-24 20:00:00,F6031,118.113,24.331,5.721327307307633,0.9747027121431984,1.6,7.426568797816852,4.193260168169058,2.9,1.3,1.8,1.5,1.8,1.8,3.5,2.8,2.6,1.2,1.9,1.5,2.0,1.6,1.7
2017-03-23 08:00:00,2017-03-25 20:00:00,F6031,118.113,24.331,6.021881708794414,2.66146770584578,1.6,5.959514857196576,7.767686470141059,1.9,2.9,1.3,1.8,1.5,1.8,1.8,3.5,2.8,2.6,1.2,1.9,1.5,2.0,1.6
2017-03-24 08:00:00,2017-03-26 20:00:00,F6031,118.113,24.331,3.608300533973104,1.5528598219225391,2.7,6.072470715204347,5.419611513650116,1.8,1.9,2.9,1.3,1.8,1.5,1.8,1.8,3.5,2.8,2.6,1.2,1.9,1.5,2.0
2017-03-25 08:00:00,2017-03-27 20:00:00,F6031,118.113,24.331,3.714878276750335,1.2510022942400385,1.8,4.364250100381116,7.3200195119037375,1.6,1.8,1.9,2.9,1.3,1.8,1.5,1.8,1.8,3.5,2.8,2.6,1.2,1.9,1.5
2017-03-26 08:00:00,2017-03-28 20:00:00,F6031,118.113,24.331,3.2408468231301133,1.1637953511429941,1.0,5.162179504760377,5.878072918870948,1.6,1.6,1.8,1.9,2.9,1.3,1.8,1.5,1.8,1.8,3.5,2.8,2.6,1.2,1.9
2017-03-27 08:00:00,2017-03-29 20:00:00,F6031,118.113,24.331,3.968091877761392,1.1829341345851392,0.7,2.5831763755457002,5.661469211845251,2.7,1.6,1.6,1.8,1.9,2.9,1.3,1.8,1.5,1.8,1.8,3.5,2.8,2.6,1.2
2017-03-28 08:00:00,2017-03-30 20:00:00,F6031,118.113,24.331,0.7863311413482457,0.7448924641540771,1.3,2.4524522080898308,1.7165988398041347,1.8,2.7,1.6,1.6,1.8,1.9,2.9,1.3,1.8,1.5,1.8,1.8,3.5,2.8,2.6
2017-03-29 08:00:00,2017-03-31 20:00:00,F6031,118.113,24.331,8.86797784862,2.129034412309352,2.3,2.8527645985202112,3.3649083698837665,1.0,1.8,2.7,1.6,1.6,1.8,1.9,2.9,1.3,1.8,1.5,1.8,1.8,3.5,2.8
2017-03-30 08:00:00,2017-04-01 20:00:00,F6031,118.113,24.331,6.300588659679412,1.956833883462764,2.6,9.105009733366703,3.6454423737274655,0.7,1.0,1.8,2.7,1.6,1.6,1.8,1.9,2.9,1.3,1.8,1.5,1.8,1.8,3.5
2017-03-31 08:00:00,2017-04-02 20:00:00,F6031,118.113,24.331,4.822609721711955,1.8879124642169245,2.2,5.999019208155443,10.486544622524331,1.3,0.7,1.0,1.8,2.7,1.6,1.6,1.8,1.9,2.9,1.3,1.8,1.5,1.8,1.8
2017-04-01 08:00:00,2017-04-03 20:00:00,F6031,118.113,24.331,4.559224355119785,1.2625859957014427,1.2,4.700573687922921,6.208558430183321,2.3,1.3,0.7,1.0,1.8,2.7,1.6,1.6,1.8,1.9,2.9,1.3,1.8,1.5,1.8
2017-04-02 08:00:00,2017-04-04 20:00:00,F6031,118.113,24.331,2.1673010408116857,1.003834543261405,0.9,4.7833719188220485,5.06877579116366,2.6,2.3,1.3,0.7,1.0,1.8,2.7,1.6,1.6,1.8,1.9,2.9,1.3,1.8,1.5
2017-04-03 08:00:00,2017-04-05 20:00:00,F6031,118.113,24.331,2.189703450243171,1.286189629288856,1.2,2.2202808766116022,4.414484860611038,2.2,2.6,2.3,1.3,0.7,1.0,1.8,2.7,1.6,1.6,1.8,1.9,2.9,1.3,1.8
2017-04-04 08:00:00,2017-04-06 20:00:00,F6031,118.113,24.331,3.686969198181077,0.9281932167397144,1.4,2.1763414602702285,2.8710196860396238,1.2,2.2,2.6,2.3,1.3,0.7,1.0,1.8,2.7,1.6,1.6,1.8,1.9,2.9,1.3
2017-04-05 08:00:00,2017-04-07 20:00:00,F6031,118.113,24.331,2.4771860260095155,0.5965365990988403,2.2,3.0746056580706216,1.930200476464793,0.9,1.2,2.2,2.6,2.3,1.3,0.7,1.0,1.8,2.7,1.6,1.6,1.8,1.9,2.9
2017-04-06 08:00:00,2017-04-08 20:00:00,F6031,118.113,24.331,4.055833249187206,0.5909178618410351,1.6,2.151662085933824,3.2883067545985867,1.2,0.9,1.2,2.2,2.6,2.3,1.3,0.7,1.0,1.8,2.7,1.6,1.6,1.8,1.9
2017-04-07 08:00:00,2017-04-09 20:00:00,F6031,118.113,24.331,5.607113075863109,0.6736112359004665,3.7,3.622080010113804,1.6918513703999625,1.4,1.2,0.9,1.2,2.2,2.6,2.3,1.3,0.7,1.0,1.8,2.7,1.6,1.6,1.8
