predict_time,MSL,ob,10UV,ob_p
2016-04-05 20:00:00,0.6897621473373192,6.2,1.2829397191463427,7.9020305
2016-04-06 20:00:00,0.45516254581662,4.0,3.8578928175464458,5.900976
2016-04-07 20:00:00,0.1807003446053841,5.3,5.0708031499674036,7.378329
2016-04-08 20:00:00,1.0235920603558952,9.8,6.152690733537162,7.7430463
2016-04-09 20:00:00,0.4558205824960169,8.5,4.596062191092743,7.419833
2016-04-10 20:00:00,2.1327516390439314,11.8,9.022062720125007,5.4514103
2016-04-11 20:00:00,1.0250541962561783,6.1,8.274115795691642,8.149515
2016-04-12 20:00:00,0.6509113339158148,7.8,4.3856015512936,9.217357
2016-04-13 20:00:00,1.4518258391232166,6.4,4.823168397807816,7.102299
2016-04-14 20:00:00,1.984186826012092,10.5,8.980523024126617,6.9453754
2016-04-15 20:00:00,0.7123832581329452,9.7,6.153785278538648,9.624577
2016-04-16 20:00:00,0.7383989199691996,8.2,6.72287425659999,6.2273173
2016-04-17 20:00:00,1.0360242430766675,7.7,6.491216765328988,6.6375384
2016-04-18 20:00:00,1.8640347851182923,9.8,10.639360745666297,5.5100055
2016-04-19 20:00:00,0.976934578686496,10.9,7.208996834355882,11.054054
2016-04-20 20:00:00,0.7501567353024257,10.3,3.437374418254774,8.171219
2016-04-21 20:00:00,0.4377734771694577,3.8,5.356505852505514,7.334957
2016-04-23 20:00:00,0.7491151465796975,3.6,5.3344157121539135,7.8617954
2016-04-24 20:00:00,1.506950920719305,7.6,5.521724335901866,8.356606
2016-04-25 20:00:00,1.199364883947737,8.0,5.408980058867538,6.882852
2016-04-26 20:00:00,0.04210999970064222,8.2,8.175136133584818,7.9476447
2016-04-27 20:00:00,1.5600537611959453,7.2,4.305244199654325,8.858572
2016-04-28 20:00:00,2.3638296536815915,10.4,9.183583816364155,7.691971
2016-04-29 20:00:00,1.2415967421579808,9.2,7.410126973053075,10.559944
2016-04-30 20:00:00,1.3006240644932632,7.5,4.762975487820572,9.100218
2017-03-01 20:00:00,3.3797020297614617,8.9,10.004361702060596,8.975477
2017-03-02 20:00:00,2.911891656455282,11.3,10.49724778710962,10.334394
2017-03-03 20:00:00,1.2731469135533189,10.7,6.756702991643188,11.38916
2017-03-04 20:00:00,0.3844333221608167,7.1,3.5439381834069485,8.811035
2017-03-05 20:00:00,1.680712162613645,12.4,9.78614672906911,8.369013
2017-03-06 20:00:00,2.3430414102841723,11.0,10.938436601528633,10.588718
2017-03-07 20:00:00,2.000589324760085,11.5,9.231944476600015,11.829897
2017-03-08 20:00:00,2.1252974298714657,10.6,7.864107120151215,9.513469
2017-03-09 20:00:00,1.971427229945334,8.6,7.415738253028103,9.409856
2017-03-10 20:00:00,2.0279557332837608,11.3,10.624286620613915,9.083436
2017-03-11 20:00:00,1.3833121268903597,10.8,8.300391824735426,11.134657
2017-03-12 20:00:00,0.4850183159867356,9.5,2.083884332525712,10.598555
2017-03-13 20:00:00,2.0188408723172406,14.1,11.928077797177007,8.134544
2017-03-14 20:00:00,2.9798867355572165,13.0,12.513266232780735,12.859331
2017-03-15 20:00:00,2.133142847208888,13.0,9.189399089372527,12.946457
2017-03-16 20:00:00,2.18472238957645,9.2,9.72750331357569,9.781454
2017-03-17 20:00:00,1.246375686484953,7.7,9.10396950559937,9.966945
2017-03-18 20:00:00,1.7242255303277716,8.8,8.07534178615631,9.772186
2017-03-19 20:00:00,1.232698476366295,8.2,7.4589559917981125,9.981501
2017-03-20 20:00:00,1.4895095449749078,8.1,2.595343837674039,9.399827
2017-03-21 20:00:00,2.52896170399481,11.6,12.21708322741488,9.896486
