now_time,predict_time,id,lon,lat,10UV,MSL,ob,10UV_-1,10UV_-2,ob_-1,ob_-2,ob_-3,ob_-4,ob_-5,ob_-6,ob_-7,ob_-8,ob_-9,ob_-10,ob_-11,ob_-12,ob_-13,ob_-14,ob_-15
2015-09-20 08:00:00,2015-09-22 20:00:00,59129,117.6,24.133000000000006,0.7752346995232587,1.5764464835311855,1.7,1.7170781258294985,1.4076755873810949,2.6,1.7,2.2,3.1,2.2,2.2,3.4,1.7,2.2,2.2,2.4,2.0,2.1,1.9,1.6
2015-09-21 08:00:00,2015-09-23 20:00:00,59129,117.6,24.133000000000006,1.0214025354507124,1.8847373481810337,2.2,1.0229796863538445,1.4433504328962254,2.5,2.6,1.7,2.2,3.1,2.2,2.2,3.4,1.7,2.2,2.2,2.4,2.0,2.1,1.9
2015-09-22 08:00:00,2015-09-24 20:00:00,59129,117.6,24.133000000000006,1.3335736463896957,1.4122500914803595,1.8,1.7054507702027062,1.1804646681361486,1.4,2.5,2.6,1.7,2.2,3.1,2.2,2.2,3.4,1.7,2.2,2.2,2.4,2.0,2.1
2015-09-23 08:00:00,2015-09-25 20:00:00,59129,117.6,24.133000000000006,1.807381155474029,1.8778859293937558,2.4,2.067823445078856,1.3056950614355074,1.7,1.4,2.5,2.6,1.7,2.2,3.1,2.2,2.2,3.4,1.7,2.2,2.2,2.4,2.0
2015-09-24 08:00:00,2015-09-26 20:00:00,59129,117.6,24.133000000000006,2.376164755067399,1.6454017059547823,2.6,1.2000389417803243,1.4935916740292283,2.2,1.7,1.4,2.5,2.6,1.7,2.2,3.1,2.2,2.2,3.4,1.7,2.2,2.2,2.4
2015-09-25 08:00:00,2015-09-27 20:00:00,59129,117.6,24.133000000000006,1.9951104022195407,3.370084272571148,2.9,2.846509451078344,2.175663347032284,1.8,2.2,1.7,1.4,2.5,2.6,1.7,2.2,3.1,2.2,2.2,3.4,1.7,2.2,2.2
2015-09-26 08:00:00,2015-09-28 20:00:00,59129,117.6,24.133000000000006,4.443069773002521,7.0522243252700045,5.6,1.9946217729447124,2.6651924306661847,2.4,1.8,2.2,1.7,1.4,2.5,2.6,1.7,2.2,3.1,2.2,2.2,3.4,1.7,2.2
2015-09-27 08:00:00,2015-09-29 20:00:00,59129,117.6,24.133000000000006,2.0920332995271846,1.3183939108545246,4.1,4.333715082971193,1.9757021103588788,2.6,2.4,1.8,2.2,1.7,1.4,2.5,2.6,1.7,2.2,3.1,2.2,2.2,3.4,1.7
2015-09-28 08:00:00,2015-09-30 20:00:00,59129,117.6,24.133000000000006,1.0662430981471287,1.3295090064010535,2.3,3.552613332164276,5.7652873050171936,2.9,2.6,2.4,1.8,2.2,1.7,1.4,2.5,2.6,1.7,2.2,3.1,2.2,2.2,3.4
2016-06-29 08:00:00,2016-07-01 20:00:00,59129,117.6,24.133000000000006,1.5074149554357419,0.9151940317410664,3.8,1.8115451727569345,2.1447126901627374,3.7,4.9,2.7,3.4,2.6,2.4,2.4,3.4,4.2,2.3,3.8,2.0,3.7,3.9,2.0
2016-06-30 08:00:00,2016-07-02 20:00:00,59129,117.6,24.133000000000006,2.1035651789449865,1.3286289656002737,2.5,1.1102484864748303,2.1828736615216617,3.1,3.7,4.9,2.7,3.4,2.6,2.4,2.4,3.4,4.2,2.3,3.8,2.0,3.7,3.9
2016-07-01 08:00:00,2016-07-03 20:00:00,59129,117.6,24.133000000000006,1.261832252445251,1.2453700183144747,1.9,2.235359669102894,1.2505359203126762,2.2,3.1,3.7,4.9,2.7,3.4,2.6,2.4,2.4,3.4,4.2,2.3,3.8,2.0,3.7
2016-07-02 08:00:00,2016-07-04 20:00:00,59129,117.6,24.133000000000006,1.5617300370582683,1.795726568941291,3.5,1.3890596573279204,1.9645284000995231,3.8,2.2,3.1,3.7,4.9,2.7,3.4,2.6,2.4,2.4,3.4,4.2,2.3,3.8,2.0
2016-07-03 08:00:00,2016-07-05 20:00:00,59129,117.6,24.133000000000006,1.289125742105618,2.4804057103615382,2.4,1.1971092110946862,2.1835893259337142,2.5,3.8,2.2,3.1,3.7,4.9,2.7,3.4,2.6,2.4,2.4,3.4,4.2,2.3,3.8
